1634633_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,6.6102,XX
1631895_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,3.5470,XX
1627936_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,1.6815,XX
1640606_x_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,1.2023,XX
1632295_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,1.3351,XX
1630948_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.4179,XX
1629641_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.0993,XX
1634338_x_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.7798,XX
1635074_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.3469,XX
1625791_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,1.2741,XX
1630420_x_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,0,0.9218,XX
1632902_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.7632,XX
1637377_x_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.6150,XX
1630262_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,1.4145,XX
1627374_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.3694,XX
1635012_x_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.5589,XX
1626434_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,2.7083,XX
1635017_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,3.2695,XX
1623845_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.1811,XX
1641421_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,1.4017,XX
